Found 1 shards at wikitext-103/wiki.valid.tokens.sent
Loading data from: wikitext-103/wiki.valid.tokens.sent
Loaded 11357 sentences.
Finished loading
Found 1 shards at wikitext-103/wiki.valid.tokens.sent
Loading data from: wikitext-103/wiki.valid.tokens.sent
Loaded 11357 sentences.
Finished loading
USING SKIP CONNECTIONS
batch=270, batch_perplexity=999.63434, avg_perplexity=646.1864032350403, time=9.313647508621216
batch=271, batch_perplexity=1382.8939, avg_perplexity=648.0031518661712, time=9.348736763000488
batch=272, batch_perplexity=1326.2683, avg_perplexity=649.7117188220195, time=9.383481740951538
batch=273, batch_perplexity=1196.3711, avg_perplexity=651.1663173850341, time=9.41801643371582
batch=274, batch_perplexity=1068.5442, avg_perplexity=652.3444418384984, time=9.45255184173584
batch=275, batch_perplexity=1411.6235, avg_perplexity=654.1781404660753, time=9.487491130828857
batch=276, batch_perplexity=1417.9049, avg_perplexity=656.0142026917571, time=9.5222008228302
batch=277, batch_perplexity=1258.0938, avg_perplexity=657.5581723522931, time=9.553946256637573
batch=278, batch_perplexity=689.3338, avg_perplexity=657.6698067227522, time=9.587347030639648
batch=279, batch_perplexity=911.94385, avg_perplexity=658.4407820211243, time=9.622109174728394
batch=280, batch_perplexity=976.32153, avg_perplexity=659.3677597767958, time=9.65669298171997
batch=281, batch_perplexity=833.3108, avg_perplexity=659.917364562655, time=9.69134259223938
batch=282, batch_perplexity=1078.3652, avg_perplexity=661.0675741557237, time=9.72632884979248
batch=283, batch_perplexity=854.46765, avg_perplexity=661.6672980853605, time=9.760881662368774
batch=284, batch_perplexity=798.6146, avg_perplexity=662.1057177914648, time=9.795371294021606
batch=285, batch_perplexity=930.0368, avg_perplexity=662.8956019247768, time=9.830168008804321
batch=286, batch_perplexity=876.00604, avg_perplexity=663.5420209986951, time=9.861142873764038
batch=287, batch_perplexity=1314.7211, avg_perplexity=665.1248180263572, time=9.894973039627075
batch=288, batch_perplexity=912.7021, avg_perplexity=665.856013689793, time=9.929962396621704
batch=289, batch_perplexity=676.1301, avg_perplexity=665.8912937121986, time=9.963276147842407
batch=290, batch_perplexity=709.3589, avg_perplexity=666.0365086047066, time=9.998157978057861
batch=291, batch_perplexity=847.20074, avg_perplexity=666.5874023624316, time=10.032939434051514
batch=292, batch_perplexity=618.48285, avg_perplexity=666.4164359278732, time=10.067509651184082
batch=293, batch_perplexity=727.0872, avg_perplexity=666.6146429161727, time=10.101805686950684
batch=294, batch_perplexity=514.26306, avg_perplexity=666.0265646550433, time=10.136481523513794
batch=295, batch_perplexity=654.04816, avg_perplexity=665.9855916069982, time=10.170233726501465
batch=296, batch_perplexity=703.49396, avg_perplexity=666.1088808302939, time=10.204580545425415
