Found 1 shards at wikitext-2/wiki.test.tokens
Loading data from: wikitext-2/wiki.test.tokens
Loaded 4358 sentences.
Finished loading
Found 1 shards at wikitext-2/wiki.test.tokens
Loading data from: wikitext-2/wiki.test.tokens
Loaded 4358 sentences.
Finished loading
USING SKIP CONNECTIONS
batch=208, batch_perplexity=559.5859, avg_perplexity=833.6173662963577, time=7.1509928703308105
batch=209, batch_perplexity=698.835, avg_perplexity=832.9142340541886, time=7.185743570327759
batch=210, batch_perplexity=663.07916, avg_perplexity=832.0102740172184, time=7.21992826461792
batch=211, batch_perplexity=771.19305, avg_perplexity=831.7110168408825, time=7.25469183921814
batch=212, batch_perplexity=783.14453, avg_perplexity=831.4750019541209, time=7.288362979888916
batch=213, batch_perplexity=764.9128, avg_perplexity=831.149348840857, time=7.323316812515259
batch=214, batch_perplexity=633.7566, avg_perplexity=830.096923943973, time=7.357805490493774
batch=215, batch_perplexity=1061.9551, avg_perplexity=831.048506857772, time=7.392391681671143
batch=216, batch_perplexity=661.5219, avg_perplexity=830.1711941685663, time=7.427128314971924
batch=217, batch_perplexity=1020.2072, avg_perplexity=830.9601516582757, time=7.461522340774536
batch=218, batch_perplexity=722.34296, avg_perplexity=830.426367010245, time=7.495760440826416
batch=219, batch_perplexity=810.8877, avg_perplexity=830.336088228091, time=7.530561447143555
batch=220, batch_perplexity=708.6841, avg_perplexity=829.7383831976949, time=7.565082788467407
batch=221, batch_perplexity=548.7811, avg_perplexity=828.1876947445264, time=7.599016904830933
batch=222, batch_perplexity=618.09045, avg_perplexity=827.0968287564738, time=7.633527755737305
batch=223, batch_perplexity=815.4765, avg_perplexity=827.0443515812926, time=7.666971206665039
batch=224, batch_perplexity=1065.0347, avg_perplexity=827.9786430184768, time=7.7013938426971436
batch=225, batch_perplexity=639.5342, avg_perplexity=827.0288627401997, time=7.735841751098633
batch=226, batch_perplexity=1020.61597, avg_perplexity=827.7988775591034, time=7.770734548568726
batch=227, batch_perplexity=578.28503, avg_perplexity=826.4918302757993, time=7.804996728897095
batch=228, batch_perplexity=666.1424, avg_perplexity=825.7103439053146, time=7.839439392089844
batch=229, batch_perplexity=751.60724, avg_perplexity=825.3713667470662, time=7.874210357666016
batch=230, batch_perplexity=750.82983, avg_perplexity=825.0317628596114, time=7.907496690750122
batch=231, batch_perplexity=866.609, avg_perplexity=825.2073811413122, time=7.941736936569214
batch=232, batch_perplexity=701.21295, avg_perplexity=824.6284342098229, time=7.976229190826416
batch=233, batch_perplexity=859.1731, avg_perplexity=824.7736862798224, time=8.010523319244385
batch=234, batch_perplexity=978.68695, avg_perplexity=825.3769885434095, time=8.04484510421753
batch=235, batch_perplexity=643.5901, avg_perplexity=824.5036813665961, time=8.07913589477539
batch=236, batch_perplexity=593.7738, avg_perplexity=823.3575690694316, time=8.112706899642944
batch=237, batch_perplexity=933.7667, avg_perplexity=823.7948503090755, time=8.146870136260986
batch=238, batch_perplexity=510.02383, avg_perplexity=822.1369409896411, time=8.181177854537964
batch=239, batch_perplexity=677.8511, avg_perplexity=821.4733783972547, time=8.21563196182251
batch=240, batch_perplexity=1025.7129, avg_perplexity=822.2337422171731, time=8.250368118286133
batch=241, batch_perplexity=619.21295, avg_perplexity=821.2668199426834, time=8.2844717502594
batch=242, batch_perplexity=804.12634, avg_perplexity=821.1952450530381, time=8.315622329711914
batch=243, batch_perplexity=448.62436, avg_perplexity=819.154681235599, time=8.349739074707031
batch=244, batch_perplexity=723.2746, avg_perplexity=818.7368710179298, time=8.38422441482544
batch=245, batch_perplexity=786.42596, avg_perplexity=818.6023279729939, time=8.418731451034546
batch=246, batch_perplexity=529.2433, avg_perplexity=817.1522576042983, time=8.45311450958252
batch=247, batch_perplexity=677.9235, avg_perplexity=816.534528734698, time=8.487348556518555
batch=248, batch_perplexity=687.92773, avg_perplexity=815.9704409438625, time=8.522013664245605
batch=249, batch_perplexity=495.303, avg_perplexity=814.336178751715, time=8.556325435638428
batch=250, batch_perplexity=625.6006, avg_perplexity=813.4777962002333, time=8.590687274932861
batch=251, batch_perplexity=806.7383, avg_perplexity=813.4508343332748, time=8.62543797492981
batch=252, batch_perplexity=505.03467, avg_perplexity=811.9136448208296, time=8.659986734390259
batch=253, batch_perplexity=621.1893, avg_perplexity=811.0548247408032, time=8.69310998916626
batch=254, batch_perplexity=437.6967, avg_perplexity=809.0876621783667, time=8.727730989456177
batch=255, batch_perplexity=791.0384, avg_perplexity=809.0160825025031, time=8.762561559677124
batch=256, batch_perplexity=602.0222, avg_perplexity=808.082699214146, time=8.79682993888855
batch=257, batch_perplexity=745.8523, avg_perplexity=807.8307654128655, time=8.831045150756836
batch=258, batch_perplexity=765.0741, avg_perplexity=807.6605129795853, time=8.865917205810547
batch=259, batch_perplexity=603.14044, avg_perplexity=806.7504849959206, time=8.900657176971436
batch=260, batch_perplexity=735.6442, avg_perplexity=806.4642392790895, time=8.934980392456055
batch=261, batch_perplexity=598.7043, avg_perplexity=805.5443081159567, time=8.96901559829712
batch=262, batch_perplexity=707.2419, avg_perplexity=805.1442627221542, time=9.003530263900757
batch=263, batch_perplexity=768.05676, avg_perplexity=804.9999075068714, time=9.038264274597168
batch=264, batch_perplexity=793.00037, avg_perplexity=804.954113846595, time=9.073080062866211
batch=265, batch_perplexity=630.59595, avg_perplexity=804.2129255267755, time=9.106839656829834
batch=266, batch_perplexity=962.31683, avg_perplexity=804.7557397890872, time=9.141098976135254
batch=267, batch_perplexity=814.0211, avg_perplexity=804.7902440854649, time=9.175536155700684
batch=268, batch_perplexity=686.5315, avg_perplexity=804.3131278277724, time=9.210830688476562
batch=269, batch_perplexity=789.4264, avg_perplexity=804.2572702335099, time=9.244812726974487
batch=270, batch_perplexity=668.76654, avg_perplexity=803.707929145568, time=9.281249523162842
batch=271, batch_perplexity=603.63104, avg_perplexity=802.8593748489976, time=9.315937280654907
batch=272, batch_perplexity=622.4168, avg_perplexity=802.1083160776616, time=9.351062536239624
batch=273, batch_perplexity=529.0676, avg_perplexity=800.8866128139312, time=9.385229110717773
batch=274, batch_perplexity=926.74677, avg_perplexity=801.3133620353933, time=9.419583320617676
batch=275, batch_perplexity=754.5629, avg_perplexity=801.138218748852, time=9.454455852508545
batch=276, batch_perplexity=668.73206, avg_perplexity=800.6140221375643, time=9.483350276947021
batch=277, batch_perplexity=892.6957, avg_perplexity=800.9287419350908, time=9.517838478088379
batch=278, batch_perplexity=618.6226, avg_perplexity=800.1849829015523, time=9.552664041519165
batch=279, batch_perplexity=675.32745, avg_perplexity=799.6985805363341, time=9.587558031082153
batch=280, batch_perplexity=831.90533, avg_perplexity=799.8113567287119, time=9.62185263633728
batch=281, batch_perplexity=622.8666, avg_perplexity=799.0999734568164, time=9.655558824539185
batch=282, batch_perplexity=745.1713, avg_perplexity=798.9020026063434, time=9.690096616744995
batch=283, batch_perplexity=563.5559, avg_perplexity=797.9174714808344, time=9.724760055541992
batch=284, batch_perplexity=611.06836, avg_perplexity=797.1682408032844, time=9.759090185165405
batch=285, batch_perplexity=863.9836, avg_perplexity=797.3934041385621, time=9.793373107910156
batch=286, batch_perplexity=863.5079, avg_perplexity=797.6155198772059, time=9.827397108078003
batch=287, batch_perplexity=688.769, avg_perplexity=797.2078653407657, time=9.861950874328613
batch=288, batch_perplexity=678.2688, avg_perplexity=796.7607466224434, time=9.896422386169434
batch=289, batch_perplexity=816.035, avg_perplexity=796.8266484689527, time=9.930598735809326
batch=290, batch_perplexity=692.9729, avg_perplexity=796.4430377015232, time=9.964086532592773
batch=291, batch_perplexity=931.4738, avg_perplexity=796.8717886892013, time=9.998406648635864
batch=292, batch_perplexity=660.91595, avg_perplexity=796.3614433540828, time=10.033194303512573
batch=293, batch_perplexity=732.54877, avg_perplexity=796.1344632380827, time=10.065327644348145
batch=294, batch_perplexity=644.4223, avg_perplexity=795.5621728786551, time=10.099137544631958
batch=295, batch_perplexity=614.3317, avg_perplexity=794.8653125293908, time=10.133776426315308
batch=296, batch_perplexity=638.0712, avg_perplexity=794.2754974645806, time=10.16806960105896
batch=297, batch_perplexity=580.5711, avg_perplexity=793.4377565908811, time=10.20205283164978
batch=298, batch_perplexity=656.9745, avg_perplexity=792.9354141195203, time=10.2364182472229
batch=299, batch_perplexity=809.3777, avg_perplexity=792.9898445705456, time=10.271039724349976
